chromosome,p,pse,prange,q,qse,qrange,ci,haploid,csize
1,8.4,0.12,4.36_8.25,9.58,0.11,4.65_8.68,0.47,17.98,318.21
2,4.92,0.07,2.69_5.00,11.45,0.12,6.10_12.00,0.3,16.36,289.63
3,6.59,0.08,3.55_7.64,6.87,0.1,3.59_8.42,0.49,13.46,238.22
4,5.87,0.05,3.20_6.00,6.12,0.05,3.15_6.18,0.49,11.99,212.29
5,4.72,0.05,2.58_4.03,5.34,0.06,2.83_4.79,0.47,10.07,178.21
6,3.04,0.03,1.83_2.63,3.68,0.04,2.02_4.07,0.45,6.72,118.92
7,1.37,0.02,0.79_1.07,1.65,0.03,0.91_1.33,0.45,3.02,53.49
8,1.27,0.02,0.69_1.02,1.44,0.02,0.78_1.24,0.47,2.71,48
9,1.22,0.02,0.72_1.01,1.35,0.02,0.78_1.14,0.47,2.57,45.5
10,1.18,0.02,0.65_0.93,1.28,0.02,0.72_1.02,0.48,2.46,43.61
11,1.12,0.02,0.66_0.87,1.23,0.02,0.71_1.04,0.48,2.35,41.65
12,1.08,0.02,0.65_0.85,1.18,0.02,0.69_1.04,0.48,2.26,39.99
13,1.03,0.02,0.58_0.84,1.14,0.02,0.65_1.03,0.47,2.17,38.33
14,0.96,0.02,0.49_0.84,1.05,0.02,0.52_0.88,0.48,2.01,35.52
15,0.83,0.02,0.32_0.74,0.95,0.02,0.49_0.87,0.47,1.78,31.49
16,0.86,0.03,0.41_0.69,1.08,0.03,0.53_1.02,0.44,1.94,39.96
